participant_id,color,flipped,pre_last50,post_r1,post_first5,post_41_60,start_richness_gap
664b8bef90cdb799d4c4c35d,#2E5C8A,False,0.54,1.0,1.0,0.25,0.06999999999999995
664b8bef90cdb799d4c4c35d,#2E5C8A,False,0.64,1.0,1.0,0.95,0.06999999999999995
664b8bef90cdb799d4c4c35d,#2E7D5B,False,0.74,0.0,0.0,1.0,0.17000000000000004
664b8bef90cdb799d4c4c35d,#2E7D5B,False,0.74,0.0,0.8,0.9,0.17000000000000004
664b8bef90cdb799d4c4c35d,#2E7D5B,False,0.76,1.0,1.0,0.95,0.06999999999999995
664b8bef90cdb799d4c4c35d,#2E7D5B,True,0.64,0.0,0.6,0.85,0.06999999999999995
664b8bef90cdb799d4c4c35d,#2E7D5B,False,0.56,0.0,0.4,0.55,0.17000000000000004
664b8bef90cdb799d4c4c35d,#2E7D5B,False,0.42,1.0,1.0,0.35,0.06999999999999995
664b8bef90cdb799d4c4c35d,#2E7D5B,False,0.66,0.0,0.0,0.25,0.17000000000000004
664b8bef90cdb799d4c4c35d,#2E7D5B,True,0.64,1.0,1.0,0.45,0.17000000000000004
664b8bef90cdb799d4c4c35d,#2E7D5B,False,0.36,0.0,0.4,0.44999999999999996,0.17000000000000004
664b8bef90cdb799d4c4c35d,#2E7D5B,False,0.6599999999999999,1.0,0.6,0.0,0.06999999999999995
